               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10589,            0.030244,            0.038534,            0.025227,            0.058608,            0.011124,           0.0024006,            0.094104,            0.020625,            0.035097,             0.00059,             0.00059,             0.09469
                   1,            0.085772,             0.03038,            0.029869,             0.84137,             0.13462,             0.16252,             0.03696,            0.071057,            0.020505,            0.024833,             0.00119,             0.00119,             0.08929
                   2,            0.071127,            0.027811,            0.021153,             0.27511,             0.55355,             0.29075,            0.087329,            0.069164,            0.017258,            0.015117,             0.00179,             0.00179,             0.08389
                   3,            0.069301,            0.025702,            0.014228,             0.50991,             0.42846,             0.37825,            0.099863,            0.062116,            0.014789,           0.0085201,           0.0023899,           0.0023899,             0.07849
                   4,            0.064719,            0.022054,            0.008712,             0.66542,             0.57493,              0.5798,             0.23469,            0.054814,            0.013567,           0.0060107,           0.0029898,           0.0029898,             0.07309
                   5,            0.062208,            0.021237,             0.00702,             0.55866,             0.58286,             0.49988,             0.17207,            0.060805,            0.012527,           0.0057435,           0.0035897,           0.0035897,             0.06769
                   6,            0.061058,            0.019792,           0.0054708,             0.61429,             0.61603,             0.56626,             0.22657,            0.055269,            0.012092,           0.0065602,           0.0041895,           0.0041895,            0.062289
                   7,            0.058233,            0.019733,           0.0045304,             0.56481,             0.72276,             0.59099,             0.28377,            0.050935,            0.011891,           0.0070916,           0.0047892,           0.0047892,            0.056889
                   8,            0.059878,             0.01869,           0.0038757,             0.60267,             0.64355,             0.61975,             0.29807,            0.051198,            0.011756,           0.0061742,           0.0053888,           0.0053888,            0.051489
                   9,            0.057246,            0.018261,           0.0040452,             0.62003,             0.67005,             0.60564,             0.31252,            0.053653,             0.01089,            0.005342,           0.0059883,           0.0059883,            0.046088
                  10,            0.056167,            0.017459,           0.0039467,             0.55663,             0.66824,             0.61789,              0.2867,            0.051422,            0.011403,           0.0073608,           0.0065877,           0.0065877,            0.040688
                  11,            0.055368,            0.017128,           0.0037452,             0.78009,             0.65717,             0.69156,             0.25552,            0.052828,            0.011562,           0.0067355,            0.007187,            0.007187,            0.035287
                  12,            0.053892,             0.01749,           0.0036418,             0.78169,             0.64904,             0.68413,             0.28814,            0.051843,             0.01114,           0.0060785,           0.0077861,           0.0077861,            0.029886
                  13,            0.051673,            0.018028,           0.0034792,             0.68392,             0.61709,             0.64982,             0.27372,            0.052669,            0.011461,           0.0053487,           0.0083851,           0.0083851,            0.024485
                  14,            0.053546,            0.017727,           0.0040723,             0.71719,             0.62494,             0.62237,             0.30014,            0.048927,            0.012679,           0.0074467,           0.0089839,           0.0089839,            0.019084
                  15,            0.052072,            0.017354,           0.0037007,             0.79973,              0.6362,             0.68469,             0.35446,            0.049208,            0.010947,           0.0076621,           0.0095825,           0.0095825,            0.013683
                  16,            0.049721,            0.017156,           0.0032938,             0.73327,             0.75134,             0.72022,             0.36591,            0.045145,            0.011203,           0.0060067,           0.0099911,           0.0099911,           0.0099911
                  17,            0.048468,            0.016861,           0.0029762,             0.70294,             0.69128,             0.67075,             0.25136,            0.051646,            0.011732,            0.008317,           0.0099911,           0.0099911,           0.0099911
                  18,             0.04836,            0.017304,           0.0028522,             0.76189,             0.71753,             0.73217,             0.30102,            0.049998,            0.010305,           0.0059661,             0.00999,             0.00999,             0.00999
                  19,            0.045721,            0.016774,           0.0024744,             0.81009,             0.78194,             0.76533,             0.42235,            0.042819,            0.010821,           0.0056647,           0.0099888,           0.0099888,           0.0099888
                  20,            0.044652,            0.015743,           0.0020199,             0.85795,             0.74792,             0.79589,             0.40429,            0.044077,            0.010566,           0.0049526,           0.0099875,           0.0099875,           0.0099875
                  21,             0.04573,            0.016306,           0.0023553,             0.88048,             0.73763,             0.76934,              0.4033,            0.043232,            0.010112,           0.0053065,           0.0099861,           0.0099861,           0.0099861
                  22,            0.042972,            0.015514,           0.0024084,             0.87218,             0.73722,             0.78462,             0.42106,            0.042148,            0.010355,           0.0063108,           0.0099847,           0.0099847,           0.0099847
                  23,            0.042722,            0.015656,           0.0019184,             0.83449,              0.7474,             0.77654,             0.40198,            0.044359,             0.01028,           0.0043866,           0.0099832,           0.0099832,           0.0099832
                  24,            0.042363,             0.01455,           0.0020974,             0.76643,             0.77204,             0.77954,             0.32977,            0.046109,            0.010622,           0.0049584,           0.0099817,           0.0099817,           0.0099817
                  25,             0.04161,            0.015075,           0.0018369,               0.783,             0.76946,              0.7804,             0.37472,            0.044322,            0.010335,           0.0048484,             0.00998,             0.00998,             0.00998
                  26,            0.038971,            0.015129,           0.0016727,             0.82651,             0.72198,             0.76085,             0.39377,            0.044947,            0.010616,           0.0065742,           0.0099783,           0.0099783,           0.0099783
                  27,            0.040534,            0.015245,           0.0019093,              0.8777,             0.72933,             0.79332,             0.46549,            0.039546,            0.010464,           0.0071285,           0.0099766,           0.0099766,           0.0099766
                  28,            0.038665,            0.015213,           0.0016486,             0.83664,             0.77186,             0.77981,             0.40661,            0.044233,            0.010123,           0.0049761,           0.0099747,           0.0099747,           0.0099747
                  29,            0.038738,            0.014426,           0.0016158,             0.83978,              0.7856,             0.80027,             0.43466,            0.039675,            0.010111,           0.0047259,           0.0099728,           0.0099728,           0.0099728
                  30,             0.03848,            0.014703,           0.0017057,             0.84843,             0.73031,             0.78113,             0.41789,            0.039918,            0.010195,           0.0051025,           0.0099709,           0.0099709,           0.0099709
                  31,            0.037778,            0.014338,           0.0018518,             0.86376,             0.73489,             0.80372,             0.44302,            0.040264,            0.010163,           0.0046192,           0.0099688,           0.0099688,           0.0099688
                  32,            0.037817,             0.01443,           0.0017451,             0.88892,             0.74437,             0.80386,             0.46343,              0.0397,           0.0099436,           0.0045181,           0.0099667,           0.0099667,           0.0099667
                  33,            0.037161,            0.014035,            0.001628,             0.85483,             0.78334,             0.80841,             0.45701,            0.040366,           0.0097259,           0.0054357,           0.0099645,           0.0099645,           0.0099645
                  34,            0.037258,            0.013949,           0.0013819,             0.87286,             0.76511,             0.78738,             0.42728,             0.04095,           0.0098541,           0.0044873,           0.0099623,           0.0099623,           0.0099623
                  35,            0.035915,            0.013427,           0.0016773,             0.86777,             0.74208,             0.80072,             0.44242,            0.040548,            0.010334,           0.0046509,           0.0099599,           0.0099599,           0.0099599
                  36,             0.03678,            0.013661,           0.0013717,             0.85465,             0.75679,             0.79286,             0.40792,            0.040408,           0.0098475,           0.0041612,           0.0099576,           0.0099576,           0.0099576
                  37,            0.035936,            0.013603,           0.0011914,             0.85027,             0.77003,             0.78381,             0.41834,            0.040015,            0.010288,           0.0048925,           0.0099551,           0.0099551,           0.0099551
                  38,            0.035947,            0.013582,           0.0015358,             0.86651,             0.76677,             0.78283,             0.43816,            0.041091,            0.010063,           0.0047091,           0.0099526,           0.0099526,           0.0099526
                  39,            0.034981,            0.013197,           0.0012748,             0.87103,             0.73672,             0.78962,             0.44224,            0.039558,            0.010624,           0.0048001,             0.00995,             0.00995,             0.00995
                  40,            0.035403,            0.013637,           0.0013078,             0.85925,             0.77996,             0.80487,             0.44092,             0.04087,             0.01003,           0.0048407,           0.0099473,           0.0099473,           0.0099473
                  41,            0.033704,            0.013316,           0.0014306,             0.86574,             0.77264,              0.8065,             0.42682,            0.041363,            0.010463,           0.0051569,           0.0099446,           0.0099446,           0.0099446
                  42,            0.034899,            0.013155,           0.0012279,              0.8494,             0.78208,             0.81726,             0.46568,            0.039896,           0.0097299,           0.0045057,           0.0099418,           0.0099418,           0.0099418
                  43,            0.036012,            0.013235,           0.0012928,              0.8342,             0.75764,             0.77842,             0.45692,            0.043239,            0.010755,           0.0053123,           0.0099389,           0.0099389,           0.0099389
                  44,            0.033951,            0.012946,           0.0011534,             0.86824,             0.76863,             0.80316,             0.47299,            0.039335,           0.0099371,           0.0043297,            0.009936,            0.009936,            0.009936
                  45,            0.034155,            0.013061,          0.00097103,             0.84437,             0.75705,             0.79326,             0.44388,            0.040456,            0.010078,           0.0043567,            0.009933,            0.009933,            0.009933
                  46,            0.033979,            0.012799,          0.00091606,             0.90211,             0.74662,              0.8098,             0.47219,            0.041238,            0.010071,           0.0037594,           0.0099299,           0.0099299,           0.0099299
                  47,            0.034222,            0.013175,           0.0011262,             0.84633,             0.77348,              0.8042,              0.4407,            0.041034,            0.010508,           0.0045217,           0.0099268,           0.0099268,           0.0099268
                  48,             0.03295,            0.012352,          0.00098362,             0.86814,             0.77095,             0.82501,             0.44175,            0.041738,            0.010289,            0.004457,           0.0099236,           0.0099236,           0.0099236
                  49,            0.032567,            0.012533,           0.0015883,             0.89115,             0.71792,             0.76484,             0.44959,             0.04212,            0.010787,           0.0088118,           0.0099203,           0.0099203,           0.0099203
                  50,            0.032906,            0.012928,           0.0012858,              0.8792,             0.73462,             0.79378,             0.45698,            0.041599,            0.010576,            0.004386,           0.0099169,           0.0099169,           0.0099169
                  51,            0.032834,            0.012805,           0.0011009,             0.88567,             0.77059,             0.81178,             0.46426,            0.040246,            0.010058,           0.0039129,           0.0099135,           0.0099135,           0.0099135
                  52,            0.032702,            0.012493,           0.0011803,             0.80835,             0.74248,             0.77837,             0.45991,            0.039841,            0.010441,           0.0040673,           0.0099101,           0.0099101,           0.0099101
                  53,            0.032619,            0.012354,           0.0010925,             0.84106,             0.74484,             0.76664,             0.41697,            0.043305,            0.010829,            0.004484,           0.0099065,           0.0099065,           0.0099065
                  54,            0.032661,            0.012554,           0.0010274,             0.83654,             0.77323,              0.7934,             0.47744,            0.038927,            0.010527,           0.0054791,           0.0099029,           0.0099029,           0.0099029
                  55,            0.033282,            0.012408,           0.0012883,             0.83313,             0.78024,             0.80069,             0.44168,            0.040184,            0.010395,           0.0041962,           0.0098992,           0.0098992,           0.0098992
                  56,            0.032523,            0.012773,           0.0010549,             0.83157,             0.76543,             0.79081,             0.48881,            0.037751,            0.010763,           0.0040337,           0.0098954,           0.0098954,           0.0098954
                  57,            0.032877,            0.012534,           0.0010757,             0.90801,               0.763,             0.81717,             0.48684,            0.037752,            0.010612,           0.0047467,           0.0098916,           0.0098916,           0.0098916
                  58,            0.030439,            0.011963,          0.00091361,             0.84433,             0.76837,              0.7871,             0.46104,            0.040808,            0.010939,           0.0066213,           0.0098877,           0.0098877,           0.0098877
                  59,            0.030417,            0.011697,          0.00084874,             0.85698,             0.78136,             0.81055,             0.48354,            0.039153,            0.010588,           0.0047757,           0.0098838,           0.0098838,           0.0098838
                  60,             0.03217,            0.011999,           0.0010158,             0.84423,             0.78772,             0.80904,             0.50759,            0.037766,            0.010229,           0.0048375,           0.0098798,           0.0098798,           0.0098798
                  61,            0.031623,            0.012041,           0.0011039,              0.7947,              0.8048,             0.79918,              0.4727,             0.04004,            0.010722,           0.0042052,           0.0098757,           0.0098757,           0.0098757
                  62,            0.031743,            0.012249,          0.00085009,             0.85674,             0.76236,             0.80265,             0.46417,            0.040813,            0.010341,           0.0054903,           0.0098715,           0.0098715,           0.0098715
                  63,            0.031057,            0.011903,          0.00072624,             0.86981,             0.79144,              0.7996,             0.48144,            0.038159,            0.011106,           0.0042451,           0.0098673,           0.0098673,           0.0098673
                  64,            0.030947,            0.012212,          0.00088337,             0.86718,             0.75435,             0.79529,             0.46729,            0.038637,            0.011189,           0.0049228,            0.009863,            0.009863,            0.009863
                  65,            0.030777,            0.012065,          0.00085416,             0.81553,             0.77461,             0.79928,              0.4792,             0.03881,            0.011035,           0.0042365,           0.0098586,           0.0098586,           0.0098586
