               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10508,            0.028763,             0.03979,            0.016691,            0.020833,           0.0046872,           0.0011019,            0.092447,            0.020861,            0.036977,             0.00013,             0.00013,             0.08713
                   1,            0.089012,            0.030388,            0.035867,            0.027743,             0.17762,            0.016027,            0.003083,            0.077917,            0.020681,            0.033729,          0.00026099,          0.00026099,            0.074161
                   2,            0.076953,            0.033001,            0.032066,             0.18218,             0.47703,             0.19268,             0.05119,            0.063652,            0.020906,            0.029483,          0.00039196,          0.00039196,            0.061192
                   3,            0.064128,            0.030488,            0.026946,             0.45062,             0.53005,             0.44913,             0.15415,            0.052963,            0.018742,            0.022679,          0.00052288,          0.00052288,            0.048223
                   4,             0.05743,            0.027891,            0.020062,             0.68667,             0.55509,             0.63092,             0.23079,            0.048233,            0.015609,             0.01256,          0.00065374,          0.00065374,            0.035254
                   5,            0.055456,            0.024455,            0.012191,             0.64811,             0.61241,             0.63064,             0.23403,            0.048649,            0.013324,             0.00716,          0.00078452,          0.00078452,            0.022285
                   6,              0.0539,            0.021741,            0.008318,             0.64297,             0.83366,             0.74922,             0.29522,            0.045217,            0.012218,           0.0055495,          0.00091519,          0.00091519,           0.0093152
                   7,            0.051621,            0.019673,           0.0059575,             0.80032,             0.70676,             0.75979,             0.33717,            0.042823,            0.011225,           0.0050875,          0.00099879,          0.00099879,          0.00099879
                   8,            0.049146,            0.019106,           0.0053265,             0.80011,             0.80251,             0.80585,             0.38428,            0.040823,            0.010772,           0.0048984,          0.00099879,          0.00099879,          0.00099879
                   9,            0.044374,            0.017799,           0.0050741,              0.8888,              0.8767,             0.89561,             0.49242,            0.035781,            0.010091,           0.0035449,          0.00099842,          0.00099842,          0.00099842
                  10,            0.043134,            0.016973,           0.0037581,             0.89865,              0.8165,              0.8788,             0.34712,            0.043359,            0.009443,           0.0038638,            0.000998,            0.000998,            0.000998
                  11,            0.039328,            0.016611,           0.0031654,             0.92751,             0.81938,              0.8902,             0.48579,            0.034935,           0.0092107,           0.0040115,          0.00099753,          0.00099753,          0.00099753
                  12,            0.038394,            0.015515,           0.0035753,             0.95597,             0.85782,              0.9076,             0.53918,            0.032868,           0.0088291,           0.0027152,          0.00099702,          0.00099702,          0.00099702
                  13,            0.036889,            0.014849,           0.0033544,             0.91274,             0.90023,             0.90656,             0.49725,            0.033006,           0.0089116,           0.0028702,          0.00099645,          0.00099645,          0.00099645
                  14,            0.035871,             0.01541,           0.0023725,             0.91677,             0.90293,             0.90921,             0.56345,            0.031826,           0.0087233,           0.0025033,          0.00099584,          0.00099584,          0.00099584
                  15,            0.034498,            0.014167,           0.0029835,             0.93427,             0.87968,              0.9142,             0.52189,            0.030653,           0.0086225,           0.0023859,          0.00099517,          0.00099517,          0.00099517
                  16,            0.033731,            0.014536,           0.0025515,             0.96144,             0.85818,             0.89234,             0.55394,            0.030982,           0.0084402,           0.0031022,          0.00099446,          0.00099446,          0.00099446
                  17,            0.032243,            0.013788,           0.0026435,             0.97178,             0.88144,             0.92564,             0.46971,            0.036167,           0.0081136,           0.0025852,           0.0009937,           0.0009937,           0.0009937
